,Timer set:      ,--:--:--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Range:          ,50 - 150 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure Start:  ,2023-12-18, 13:12:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure End:    ,2023-12-18, 13:13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Save Time:      ,2023-12-18, 13:13:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# System Analyzer Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,           ,        ,Broad band,        ,         ,Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,           ,        ,LZ        ,LA      ,Band [Hz],11.5,12.2,13,13.7,14.5,15.4,16.3,17.3,18.3,19.4,20.5,21.8,23,24.4,25.9,27.4,29,30.7,32.5,34.5,36.5,38.7,41,43.4,46,48.7,52,55,58,61,65,69,73,77,82,87,92,97,103,109,115,122,130,137,145,154,163,173,183,194,205,218,230,244,259,274,290,307,325,345,365,387,410,434,460,487,520,550,580,610,650,690,730,770,820,870,920,970,1030,1090,1150,1220,1300,1370,1450,1540,1630,1730,1830,1940,2050,2180,2300,2440,2590,2740,2900,3070,3250,3450,3650,3870,4100,4340,4600,4870,5200,5500,5800,6100,6500,6900,7300,7700,8200,8700,9200,9700,10300,10900,11500,12200,13000,13700,14500,15400,16300,17300,18300,19400,20500,21800
,EQ         ,[dB]    ,122.8,112.9,         ,19.4,17.5,15.9,15.7,19.1,19.7,19.7,16.2,17.3,15.9,17.4,17.5,18.8,17.9,18.3,17.6,17.9,18.6,18.1,18.2,17.8,17.6,18.3,16.8,18.2,18.6,18.5,18.3,18.9,19,18.5,18.1,19,18.6,19.6,18.6,19.1,19.1,19.7,18.9,19.8,19.5,20.2,19.5,20.2,21.2,23.3,30.2,41.7,58.2,84.7,122.7,102.2,67.1,48,34.9,26.3,22.3,21.4,21.1,21.3,20.6,21.1,27.2,21.4,21.2,21.2,21.5,21.1,21.4,24.8,21.8,21.8,22.2,22.3,25.9,22.6,22.5,22.7,27.2,22.9,23.5,27.1,24.1,24.1,34.2,24.4,30.8,25.5,27.6,25.6,25.9,25.8,34.1,28.7,26.8,27.4,26.9,32.8,28.7,27.8,27.9,30.4,30.4,35,29.8,35.7,31.3,34.3,32.2,30.9,32.9,35.4,38.6,31.9,31.7,33,34.7,34.9,33.3,34,33.9,33.6,34.7,34.8,35.8,35.4,35.2,35.5,35.7,35.8,36
,Live       ,[dB]    ,122.8,112.9,         ,16.2,16.6,19.3,16.4,16.5,22.4,10.3,18.1,10.9,19.7,19.3,16.8,22.9,14.8,15.7,19,25,17.4,21.4,13.2,11.4,19.4,22.5,14.8,17.1,18.4,21.4,20.1,17.7,20.1,21.9,14.5,21,20.4,19,18.8,21,21,17.6,23.6,20.8,23,22.6,16.9,20.7,22.1,23.6,30.5,41.8,58.2,84.7,122.7,102.2,67.1,48,34.8,26,23,18.8,22.6,19.8,19.9,19.8,27.7,20.3,21.4,22,20.5,18.9,20.4,24.3,21.7,23.1,22.2,21.9,24,21.8,22.5,22.1,26.9,22.2,23.3,26.5,23.3,25.6,34.5,24.2,31.5,25.2,27,25.3,26,25.6,34.2,27.7,27.3,27.6,26.7,32.8,28.6,27.7,27.5,29.9,31.3,35.2,29.9,36.3,31.7,34.2,32,29.9,32.5,35.8,38.8,31.5,31.7,32.6,35.1,35,32.9,34.1,33.8,33.3,34.5,34.6,35.7,35.3,35.3,35.3,35.8,35.6,35.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C1         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C2         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C3         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C4         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C5         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C6         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C7         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,C8         ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,Mean       ,[dB]    ,-.-       ,-.-     ,         ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     ,-.-     
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CheckSum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B814ABDFB8DA622DA3B1AB1695CB341F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
